Sample,Count,Length,Legal.sublegal,Family,Genus,Species
1885,1,25,Sublegal,Palinuridae,Panulirus,cygnus
2024,3,25,Sublegal,Palinuridae,Panulirus,cygnus
1934,1,30,Sublegal,Palinuridae,Panulirus,cygnus
2034,1,30,Sublegal,Palinuridae,Panulirus,cygnus
1925,2,40,Sublegal,Palinuridae,Panulirus,cygnus
1934,2,40,Sublegal,Palinuridae,Panulirus,cygnus
1974,4,40,Sublegal,Palinuridae,Panulirus,cygnus
2008,1,40,Sublegal,Palinuridae,Panulirus,cygnus
2027,2,40,Sublegal,Palinuridae,Panulirus,cygnus
2029,1,40,Sublegal,Palinuridae,Panulirus,cygnus
2031,1,40,Sublegal,Palinuridae,Panulirus,cygnus
2032,1,40,Sublegal,Palinuridae,Panulirus,cygnus
2281,1,40,Sublegal,Palinuridae,Panulirus,cygnus
2298,5,40,Sublegal,Palinuridae,Panulirus,cygnus
2302,1,40,Sublegal,Palinuridae,Panulirus,cygnus
2341,2,40,Sublegal,Palinuridae,Panulirus,cygnus
2343,2,40,Sublegal,Palinuridae,Panulirus,cygnus
1950,1,45,Sublegal,Palinuridae,Panulirus,cygnus
1960,1,45,Sublegal,Palinuridae,Panulirus,cygnus
2286,1,45,Sublegal,Palinuridae,Panulirus,cygnus
1874,1,50,Sublegal,Palinuridae,Panulirus,cygnus
1885,1,50,Sublegal,Palinuridae,Panulirus,cygnus
1923,4,50,Sublegal,Palinuridae,Panulirus,cygnus
1930,2,50,Sublegal,Palinuridae,Panulirus,cygnus
1953,1,50,Sublegal,Palinuridae,Panulirus,cygnus
1963,1,50,Sublegal,Palinuridae,Panulirus,cygnus
1974,2,50,Sublegal,Palinuridae,Panulirus,cygnus
1979,1,50,Sublegal,Palinuridae,Panulirus,cygnus
1984,6,50,Sublegal,Palinuridae,Panulirus,cygnus
1986,2,50,Sublegal,Palinuridae,Panulirus,cygnus
1995,1,50,Sublegal,Palinuridae,Panulirus,cygnus
1999,2,50,Sublegal,Palinuridae,Panulirus,cygnus
2008,1,50,Sublegal,Palinuridae,Panulirus,cygnus
2011,1,50,Sublegal,Palinuridae,Panulirus,cygnus
2031,1,50,Sublegal,Palinuridae,Panulirus,cygnus
2033,1,50,Sublegal,Palinuridae,Panulirus,cygnus
2077,2,50,Sublegal,Palinuridae,Panulirus,cygnus
2100,1,50,Sublegal,Palinuridae,Panulirus,cygnus
2107,1,50,Sublegal,Palinuridae,Panulirus,cygnus
2111,3,50,Sublegal,Palinuridae,Panulirus,cygnus
2154,1,50,Sublegal,Palinuridae,Panulirus,cygnus
2215,1,50,Sublegal,Palinuridae,Panulirus,cygnus
2217,1,50,Sublegal,Palinuridae,Panulirus,cygnus
2223,2,50,Sublegal,Palinuridae,Panulirus,cygnus
2276,2,50,Sublegal,Palinuridae,Panulirus,cygnus
2282,2,50,Sublegal,Palinuridae,Panulirus,cygnus
2302,2,50,Sublegal,Palinuridae,Panulirus,cygnus
2314,1,50,Sublegal,Palinuridae,Panulirus,cygnus
2341,1,50,Sublegal,Palinuridae,Panulirus,cygnus
2343,1,50,Sublegal,Palinuridae,Panulirus,cygnus
1945,1,55,Sublegal,Palinuridae,Panulirus,cygnus
2173,1,55,Sublegal,Palinuridae,Panulirus,cygnus
2293,1,55,Sublegal,Palinuridae,Panulirus,cygnus
1874,2,60,Sublegal,Palinuridae,Panulirus,cygnus
1895,1,60,Sublegal,Palinuridae,Panulirus,cygnus
1900,1,60,Sublegal,Palinuridae,Panulirus,cygnus
1925,4,60,Sublegal,Palinuridae,Panulirus,cygnus
1926,1,60,Sublegal,Palinuridae,Panulirus,cygnus
1934,1,60,Sublegal,Palinuridae,Panulirus,cygnus
1944,1,60,Sublegal,Palinuridae,Panulirus,cygnus
1950,1,60,Sublegal,Palinuridae,Panulirus,cygnus
1953,2,60,Sublegal,Palinuridae,Panulirus,cygnus
1962,1,60,Sublegal,Palinuridae,Panulirus,cygnus
1963,1,60,Sublegal,Palinuridae,Panulirus,cygnus
1976,2,60,Sublegal,Palinuridae,Panulirus,cygnus
1977,1,60,Sublegal,Palinuridae,Panulirus,cygnus
1999,2,60,Sublegal,Palinuridae,Panulirus,cygnus
2008,2,60,Sublegal,Palinuridae,Panulirus,cygnus
2011,1,60,Sublegal,Palinuridae,Panulirus,cygnus
2014,1,60,Sublegal,Palinuridae,Panulirus,cygnus
2031,1,60,Sublegal,Palinuridae,Panulirus,cygnus
2074,2,60,Sublegal,Palinuridae,Panulirus,cygnus
2088,2,60,Sublegal,Palinuridae,Panulirus,cygnus
2094,1,60,Sublegal,Palinuridae,Panulirus,cygnus
2098,1,60,Sublegal,Palinuridae,Panulirus,cygnus
2158,1,60,Sublegal,Palinuridae,Panulirus,cygnus
2169,1,60,Sublegal,Palinuridae,Panulirus,cygnus
2185,1,60,Sublegal,Palinuridae,Panulirus,cygnus
2191,1,60,Sublegal,Palinuridae,Panulirus,cygnus
2198,1,60,Sublegal,Palinuridae,Panulirus,cygnus
2214,1,60,Sublegal,Palinuridae,Panulirus,cygnus
2215,1,60,Sublegal,Palinuridae,Panulirus,cygnus
2231,1,60,Sublegal,Palinuridae,Panulirus,cygnus
2263,1,60,Sublegal,Palinuridae,Panulirus,cygnus
2271,1,60,Sublegal,Palinuridae,Panulirus,cygnus
2274,2,60,Sublegal,Palinuridae,Panulirus,cygnus
2275,1,60,Sublegal,Palinuridae,Panulirus,cygnus
2276,2,60,Sublegal,Palinuridae,Panulirus,cygnus
2286,1,60,Sublegal,Palinuridae,Panulirus,cygnus
2290,1,60,Sublegal,Palinuridae,Panulirus,cygnus
2298,2,60,Sublegal,Palinuridae,Panulirus,cygnus
2301,2,60,Sublegal,Palinuridae,Panulirus,cygnus
2302,2,60,Sublegal,Palinuridae,Panulirus,cygnus
2341,3,60,Sublegal,Palinuridae,Panulirus,cygnus
2343,2,60,Sublegal,Palinuridae,Panulirus,cygnus
1892,1,65,Sublegal,Palinuridae,Panulirus,cygnus
1922,6,65,Sublegal,Palinuridae,Panulirus,cygnus
2078,1,65,Sublegal,Palinuridae,Panulirus,cygnus
2111,1,65,Sublegal,Palinuridae,Panulirus,cygnus
2121,1,65,Sublegal,Palinuridae,Panulirus,cygnus
2175,1,65,Sublegal,Palinuridae,Panulirus,cygnus
2194,1,65,Sublegal,Palinuridae,Panulirus,cygnus
1895,2,70,Sublegal,Palinuridae,Panulirus,cygnus
1896,1,70,Sublegal,Palinuridae,Panulirus,cygnus
1900,2,70,Sublegal,Palinuridae,Panulirus,cygnus
1905,1,70,Sublegal,Palinuridae,Panulirus,cygnus
1906,2,70,Sublegal,Palinuridae,Panulirus,cygnus
1908,1,70,Sublegal,Palinuridae,Panulirus,cygnus
1913,1,70,Sublegal,Palinuridae,Panulirus,cygnus
1935,2,70,Sublegal,Palinuridae,Panulirus,cygnus
1940,1,70,Sublegal,Palinuridae,Panulirus,cygnus
1944,1,70,Sublegal,Palinuridae,Panulirus,cygnus
1950,1,70,Sublegal,Palinuridae,Panulirus,cygnus
1951,1,70,Sublegal,Palinuridae,Panulirus,cygnus
1953,3,70,Sublegal,Palinuridae,Panulirus,cygnus
1954,1,70,Sublegal,Palinuridae,Panulirus,cygnus
1958,1,70,Sublegal,Palinuridae,Panulirus,cygnus
1966,2,70,Sublegal,Palinuridae,Panulirus,cygnus
1974,1,70,Sublegal,Palinuridae,Panulirus,cygnus
1977,1,70,Sublegal,Palinuridae,Panulirus,cygnus
1979,1,70,Sublegal,Palinuridae,Panulirus,cygnus
1986,3,70,Sublegal,Palinuridae,Panulirus,cygnus
1991,1,70,Sublegal,Palinuridae,Panulirus,cygnus
1992,2,70,Sublegal,Palinuridae,Panulirus,cygnus
