Year,Sanctuary,Status,Site,Observer,Replicate,Sampling.location,Depth,Time,Complexity,Algal.cover,Sample,Latitude,Longitude,Successful.count,Successful.length,Date,Location
2017,Armstrong Bay,No-take,Parakeet Bay,1,3,Outer central,1,12:00:00,2,2,1308,-31.987022,115.513504,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Parakeet Bay,1,4,Outer central,1,12:00:00,3,2,1309,-31.987022,115.513504,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Parakeet Bay,1,5,Outer central,1,12:00:00,1,2,1310,-31.987022,115.513504,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Parakeet Bay,1,6,Outer central,1,12:00:00,4,2,1311,-31.987022,115.513504,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Parakeet Bay,1,7,Outer central,1,12:00:00,1,2,1312,-31.987022,115.513504,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Parakeet Bay,1,8,Outer central,1,12:00:00,3,2,1313,-31.987022,115.513504,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Parakeet Bay,1,9,Outer central,1,12:00:00,2,2,1314,-31.987022,115.513504,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Parakeet Bay,1,10,Outer central,1,12:00:00,4,3,1315,-31.987022,115.513504,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Parakeet Bay,2,1,North Western point,1,12:00:00,2,2,1316,-31.987022,115.513504,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Parakeet Bay,2,2,North Western point,1,12:00:00,3,2,1317,-31.987022,115.513504,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Parakeet Bay,2,3,North Western point,1,12:00:00,3,3,1318,-31.987022,115.513504,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Parakeet Bay,2,4,North Western point,1,12:00:00,2,2,1319,-31.987022,115.513504,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Parakeet Bay,2,5,North Western point,1,12:00:00,2,2,1320,-31.987022,115.513504,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Parakeet Bay,2,6,North Western point,1,12:00:00,3,3,1321,-31.987022,115.513504,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Parakeet Bay,2,7,North Western point,1,12:00:00,4,3,1322,-31.987022,115.513504,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Parakeet Bay,2,8,North Western point,1,12:00:00,1,3,1323,-31.987022,115.513504,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Parakeet Bay,2,9,North Western point,1,12:00:00,3,2,1324,-31.987022,115.513504,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Parakeet Bay,2,10,North Western point,1,12:00:00,3,2,1325,-31.987022,115.513504,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Parakeet Bay,3,1,Northwestern Outer,1,12:00:00,1,2,1326,-31.987022,115.513504,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Parakeet Bay,3,2,Northwestern Outer,1,12:00:00,2,3,1327,-31.987022,115.513504,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Parakeet Bay,3,3,Northwestern Outer,1,12:00:00,3,3,1328,-31.987022,115.513504,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Parakeet Bay,3,4,Northwestern Outer,1,12:00:00,2,3,1329,-31.987022,115.513504,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Parakeet Bay,3,5,Northwestern Outer,1,12:00:00,0,3,1330,-31.987022,115.513504,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Parakeet Bay,3,6,Northwestern Outer,1,12:00:00,1,2,1331,-31.987022,115.513504,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Parakeet Bay,3,7,Northwestern Outer,1,12:00:00,0,1,1332,-31.987022,115.513504,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Parakeet Bay,3,8,Northwestern Outer,1,12:00:00,2,3,1333,-31.987022,115.513504,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Parakeet Bay,3,9,Northwestern Outer,1,12:00:00,3,2,1334,-31.987022,115.513504,Yes,Yes,20170122,
2017,Armstrong Bay,No-take,Parakeet Bay,3,10,Northwestern Outer,1,12:00:00,1,3,1335,-31.987022,115.513504,Yes,Yes,20170122,
