Sample,Count,Length,Legal.sublegal,Family,Genus,Species
1279,1,35,Sublegal,Palinuridae,Panulirus,cygnus
1281,1,35,Sublegal,Palinuridae,Panulirus,cygnus
1348,1,35,Sublegal,Palinuridae,Panulirus,cygnus
1376,2,35,Sublegal,Palinuridae,Panulirus,cygnus
1382,1,35,Sublegal,Palinuridae,Panulirus,cygnus
1405,1,35,Sublegal,Palinuridae,Panulirus,cygnus
1432,1,35,Sublegal,Palinuridae,Panulirus,cygnus
1496,3,35,Sublegal,Palinuridae,Panulirus,cygnus
1501,1,35,Sublegal,Palinuridae,Panulirus,cygnus
1505,1,35,Sublegal,Palinuridae,Panulirus,cygnus
1514,3,35,Sublegal,Palinuridae,Panulirus,cygnus
1539,1,35,Sublegal,Palinuridae,Panulirus,cygnus
1543,2,35,Sublegal,Palinuridae,Panulirus,cygnus
1544,7,35,Sublegal,Palinuridae,Panulirus,cygnus
1545,5,35,Sublegal,Palinuridae,Panulirus,cygnus
1576,1,35,Sublegal,Palinuridae,Panulirus,cygnus
1577,3,35,Sublegal,Palinuridae,Panulirus,cygnus
1578,4,35,Sublegal,Palinuridae,Panulirus,cygnus
1579,1,35,Sublegal,Palinuridae,Panulirus,cygnus
1583,1,35,Sublegal,Palinuridae,Panulirus,cygnus
1585,2,35,Sublegal,Palinuridae,Panulirus,cygnus
1587,1,35,Sublegal,Palinuridae,Panulirus,cygnus
1630,1,35,Sublegal,Palinuridae,Panulirus,cygnus
1633,1,35,Sublegal,Palinuridae,Panulirus,cygnus
1662,2,35,Sublegal,Palinuridae,Panulirus,cygnus
1675,1,35,Sublegal,Palinuridae,Panulirus,cygnus
1680,2,35,Sublegal,Palinuridae,Panulirus,cygnus
1685,4,35,Sublegal,Palinuridae,Panulirus,cygnus
1686,2,35,Sublegal,Palinuridae,Panulirus,cygnus
1689,1,35,Sublegal,Palinuridae,Panulirus,cygnus
1691,1,35,Sublegal,Palinuridae,Panulirus,cygnus
1744,2,35,Sublegal,Palinuridae,Panulirus,cygnus
1745,1,35,Sublegal,Palinuridae,Panulirus,cygnus
1786,1,35,Sublegal,Palinuridae,Panulirus,cygnus
1787,1,35,Sublegal,Palinuridae,Panulirus,cygnus
1789,1,35,Sublegal,Palinuridae,Panulirus,cygnus
1794,1,35,Sublegal,Palinuridae,Panulirus,cygnus
1831,1,35,Sublegal,Palinuridae,Panulirus,cygnus
1273,1,45,Sublegal,Palinuridae,Panulirus,cygnus
1275,1,45,Sublegal,Palinuridae,Panulirus,cygnus
1276,1,45,Sublegal,Palinuridae,Panulirus,cygnus
1291,4,45,Sublegal,Palinuridae,Panulirus,cygnus
1350,4,45,Sublegal,Palinuridae,Panulirus,cygnus
1360,4,45,Sublegal,Palinuridae,Panulirus,cygnus
1389,1,45,Sublegal,Palinuridae,Panulirus,cygnus
1432,1,45,Sublegal,Palinuridae,Panulirus,cygnus
1467,1,45,Sublegal,Palinuridae,Panulirus,cygnus
1489,1,45,Sublegal,Palinuridae,Panulirus,cygnus
1495,6,45,Sublegal,Palinuridae,Panulirus,cygnus
1496,2,45,Sublegal,Palinuridae,Panulirus,cygnus
1502,1,45,Sublegal,Palinuridae,Panulirus,cygnus
1507,1,45,Sublegal,Palinuridae,Panulirus,cygnus
1510,1,45,Sublegal,Palinuridae,Panulirus,cygnus
1512,6,45,Sublegal,Palinuridae,Panulirus,cygnus
1514,1,45,Sublegal,Palinuridae,Panulirus,cygnus
1524,1,45,Sublegal,Palinuridae,Panulirus,cygnus
1539,1,45,Sublegal,Palinuridae,Panulirus,cygnus
1544,3,45,Sublegal,Palinuridae,Panulirus,cygnus
1545,4,45,Sublegal,Palinuridae,Panulirus,cygnus
1546,3,45,Sublegal,Palinuridae,Panulirus,cygnus
1547,3,45,Sublegal,Palinuridae,Panulirus,cygnus
1548,2,45,Sublegal,Palinuridae,Panulirus,cygnus
1576,2,45,Sublegal,Palinuridae,Panulirus,cygnus
1577,3,45,Sublegal,Palinuridae,Panulirus,cygnus
1586,2,45,Sublegal,Palinuridae,Panulirus,cygnus
1587,2,45,Sublegal,Palinuridae,Panulirus,cygnus
1595,1,45,Sublegal,Palinuridae,Panulirus,cygnus
1634,1,45,Sublegal,Palinuridae,Panulirus,cygnus
1639,3,45,Sublegal,Palinuridae,Panulirus,cygnus
1644,1,45,Sublegal,Palinuridae,Panulirus,cygnus
1668,3,45,Sublegal,Palinuridae,Panulirus,cygnus
1675,4,45,Sublegal,Palinuridae,Panulirus,cygnus
1677,2,45,Sublegal,Palinuridae,Panulirus,cygnus
1679,1,45,Sublegal,Palinuridae,Panulirus,cygnus
1680,3,45,Sublegal,Palinuridae,Panulirus,cygnus
1682,1,45,Sublegal,Palinuridae,Panulirus,cygnus
1700,1,45,Sublegal,Palinuridae,Panulirus,cygnus
1703,1,45,Sublegal,Palinuridae,Panulirus,cygnus
1745,2,45,Sublegal,Palinuridae,Panulirus,cygnus
1752,1,45,Sublegal,Palinuridae,Panulirus,cygnus
1754,2,45,Sublegal,Palinuridae,Panulirus,cygnus
1755,1,45,Sublegal,Palinuridae,Panulirus,cygnus
1785,2,45,Sublegal,Palinuridae,Panulirus,cygnus
1786,2,45,Sublegal,Palinuridae,Panulirus,cygnus
1787,3,45,Sublegal,Palinuridae,Panulirus,cygnus
1791,1,45,Sublegal,Palinuridae,Panulirus,cygnus
1794,2,45,Sublegal,Palinuridae,Panulirus,cygnus
1805,1,45,Sublegal,Palinuridae,Panulirus,cygnus
1282,1,55,Sublegal,Palinuridae,Panulirus,cygnus
1285,1,55,Sublegal,Palinuridae,Panulirus,cygnus
1294,1,55,Sublegal,Palinuridae,Panulirus,cygnus
1404,1,55,Sublegal,Palinuridae,Panulirus,cygnus
1405,2,55,Sublegal,Palinuridae,Panulirus,cygnus
1418,1,55,Sublegal,Palinuridae,Panulirus,cygnus
1429,1,55,Sublegal,Palinuridae,Panulirus,cygnus
1435,5,55,Sublegal,Palinuridae,Panulirus,cygnus
1489,1,55,Sublegal,Palinuridae,Panulirus,cygnus
1492,1,55,Sublegal,Palinuridae,Panulirus,cygnus
1493,2,55,Sublegal,Palinuridae,Panulirus,cygnus
1502,1,55,Sublegal,Palinuridae,Panulirus,cygnus
1507,3,55,Sublegal,Palinuridae,Panulirus,cygnus
1512,1,55,Sublegal,Palinuridae,Panulirus,cygnus
1524,1,55,Sublegal,Palinuridae,Panulirus,cygnus
1528,3,55,Sublegal,Palinuridae,Panulirus,cygnus
1534,3,55,Sublegal,Palinuridae,Panulirus,cygnus
1544,1,55,Sublegal,Palinuridae,Panulirus,cygnus
1545,1,55,Sublegal,Palinuridae,Panulirus,cygnus
1548,1,55,Sublegal,Palinuridae,Panulirus,cygnus
1549,1,55,Sublegal,Palinuridae,Panulirus,cygnus
1553,3,55,Sublegal,Palinuridae,Panulirus,cygnus
1555,3,55,Sublegal,Palinuridae,Panulirus,cygnus
1566,3,55,Sublegal,Palinuridae,Panulirus,cygnus
1573,1,55,Sublegal,Palinuridae,Panulirus,cygnus
1574,2,55,Sublegal,Palinuridae,Panulirus,cygnus
1577,1,55,Sublegal,Palinuridae,Panulirus,cygnus
1586,1,55,Sublegal,Palinuridae,Panulirus,cygnus
1677,1,55,Sublegal,Palinuridae,Panulirus,cygnus
1685,3,55,Sublegal,Palinuridae,Panulirus,cygnus
1686,1,55,Sublegal,Palinuridae,Panulirus,cygnus
1688,1,55,Sublegal,Palinuridae,Panulirus,cygnus
1707,1,55,Sublegal,Palinuridae,Panulirus,cygnus
1710,1,55,Sublegal,Palinuridae,Panulirus,cygnus
1730,2,55,Sublegal,Palinuridae,Panulirus,cygnus
1744,1,55,Sublegal,Palinuridae,Panulirus,cygnus
1756,1,55,Sublegal,Palinuridae,Panulirus,cygnus
1767,1,55,Sublegal,Palinuridae,Panulirus,cygnus
1770,1,55,Sublegal,Palinuridae,Panulirus,cygnus
1785,1,55,Sublegal,Palinuridae,Panulirus,cygnus
1786,1,55,Sublegal,Palinuridae,Panulirus,cygnus
1787,2,55,Sublegal,Palinuridae,Panulirus,cygnus
1865,1,55,Sublegal,Palinuridae,Panulirus,cygnus
1284,1,65,Sublegal,Palinuridae,Panulirus,cygnus
1285,1,65,Sublegal,Palinuridae,Panulirus,cygnus
1324,2,65,Sublegal,Palinuridae,Panulirus,cygnus
1325,2,65,Sublegal,Palinuridae,Panulirus,cygnus
1360,1,65,Sublegal,Palinuridae,Panulirus,cygnus
1435,1,65,Sublegal,Palinuridae,Panulirus,cygnus
1455,1,65,Sublegal,Palinuridae,Panulirus,cygnus
1488,1,65,Sublegal,Palinuridae,Panulirus,cygnus
1489,2,65,Sublegal,Palinuridae,Panulirus,cygnus
1493,1,65,Sublegal,Palinuridae,Panulirus,cygnus
1560,1,65,Sublegal,Palinuridae,Panulirus,cygnus
1570,1,65,Sublegal,Palinuridae,Panulirus,cygnus
1574,2,65,Sublegal,Palinuridae,Panulirus,cygnus
1644,3,65,Sublegal,Palinuridae,Panulirus,cygnus
1646,3,65,Sublegal,Palinuridae,Panulirus,cygnus
1683,1,65,Sublegal,Palinuridae,Panulirus,cygnus
1685,4,65,Sublegal,Palinuridae,Panulirus,cygnus
1728,2,65,Sublegal,Palinuridae,Panulirus,cygnus
1751,1,65,Sublegal,Palinuridae,Panulirus,cygnus
1766,2,65,Sublegal,Palinuridae,Panulirus,cygnus
1788,1,65,Sublegal,Palinuridae,Panulirus,cygnus
1800,1,65,Sublegal,Palinuridae,Panulirus,cygnus
1803,2,65,Sublegal,Palinuridae,Panulirus,cygnus
1805,1,65,Sublegal,Palinuridae,Panulirus,cygnus
