Year,Sanctuary,Status,Site,Observer,Replicate,Sampling.location,Depth,Gps,Way.point,D,Time,Complexity,Algal.cover,Sample,Latitude,Longitude,Successful.count,Successful.length,Date,Location
2014,Armstrong Bay,No-take,Little Armstrong,none,39,none,1,jane1,56,12/30/1899,9:00:00,2,2,39,-31.990553,115.505975,Yes,Yes,20140125,
2014,Armstrong Bay,No-take,Little Armstrong,none,40,none,1,jane1,57,12/30/1899,9:03:00,1,3,40,-31.990553,115.505975,Yes,Yes,20140125,
2014,Armstrong Bay,No-take,Little Armstrong,none,41,none,1,jane1,58,12/30/1899,9:13:00,1,3,41,-31.990553,115.505975,Yes,Yes,20140125,
2014,Armstrong Bay,No-take,Little Armstrong,none,42,none,1,jane1,59,12/30/1899,9:18:00,2,2,42,-31.990553,115.505975,Yes,Yes,20140125,
2014,Armstrong Bay,No-take,Little Armstrong,none,43,none,1,jane1,60,12/30/1899,9:22:00,2,3,43,-31.990553,115.505975,Yes,Yes,20140125,
2014,Armstrong Bay,No-take,Little Armstrong,none,44,none,1,jane1,61,12/30/1899,9:26:00,2,1,44,-31.990553,115.505975,Yes,Yes,20140125,
2014,Armstrong Bay,No-take,Little Armstrong,none,45,none,1,jane1,62,12/30/1899,9:31:00,2,3,45,-31.990553,115.505975,Yes,Yes,20140125,
2014,Armstrong Bay,No-take,Little Armstrong,none,46,none,1,jane1,63,12/30/1899,9:36:00,2,3,46,-31.990553,115.505975,Yes,Yes,20140125,
2014,Armstrong Bay,No-take,Little Armstrong,none,47,none,1,jane1,64,12/30/1899,9:43:00,1,3,47,-31.990553,115.505975,Yes,Yes,20140125,
2014,Armstrong Bay,No-take,Little Armstrong,none,48,none,1,jane1,65,12/30/1899,9:45:00,4,1,48,-31.990553,115.505975,Yes,Yes,20140125,
2014,Armstrong Bay,No-take,Little Armstrong,none,49,none,1,ncb1,39,12/30/1899,8:59:00,4,2,49,-31.990553,115.505975,Yes,Yes,20140125,
2014,Armstrong Bay,No-take,Little Armstrong,none,50,none,1,ncb1,40,12/30/1899,9:02:00,2,3,50,-31.990553,115.505975,Yes,Yes,20140125,
2014,Armstrong Bay,No-take,Little Armstrong,none,51,none,1,ncb1,41,12/30/1899,9:05:00,2,2,51,-31.990553,115.505975,Yes,Yes,20140125,
2014,Armstrong Bay,No-take,Little Armstrong,none,52,none,1,ncb1,42,12/30/1899,9:09:00,1,1,52,-31.990553,115.505975,Yes,Yes,20140125,
2014,Armstrong Bay,No-take,Little Armstrong,none,53,none,1,ncb1,43,12/30/1899,9:11:00,4,2,53,-31.990553,115.505975,Yes,Yes,20140125,
2014,Armstrong Bay,No-take,Little Armstrong,none,54,none,1,ncb1,44,12/30/1899,9:14:00,2,3,54,-31.990553,115.505975,Yes,Yes,20140125,
