Sample,Legal.sublegal,Count,Family,Genus,Species
2111,Sublegal,4,Palinuridae,Panulirus,cygnus
2113,Legal,1,Palinuridae,Panulirus,cygnus
2121,Sublegal,2,Palinuridae,Panulirus,cygnus
2135,Sublegal,1,Palinuridae,Panulirus,cygnus
2136,Legal,2,Palinuridae,Panulirus,cygnus
2138,Sublegal,1,Palinuridae,Panulirus,cygnus
2144,Legal,2,Palinuridae,Panulirus,cygnus
2144,Unsized,2,Palinuridae,Panulirus,cygnus
2146,Legal,4,Palinuridae,Panulirus,cygnus
2146,Sublegal,1,Palinuridae,Panulirus,cygnus
2149,Legal,3,Palinuridae,Panulirus,cygnus
2154,Legal,3,Palinuridae,Panulirus,cygnus
2154,Sublegal,1,Palinuridae,Panulirus,cygnus
2156,Legal,1,Palinuridae,Panulirus,cygnus
2157,Legal,1,Palinuridae,Panulirus,cygnus
2158,Legal,2,Palinuridae,Panulirus,cygnus
2158,Sublegal,1,Palinuridae,Panulirus,cygnus
2159,Unsized,2,Palinuridae,Panulirus,cygnus
2160,Legal,3,Palinuridae,Panulirus,cygnus
2160,Sublegal,2,Palinuridae,Panulirus,cygnus
2169,Legal,1,Palinuridae,Panulirus,cygnus
2169,Sublegal,1,Palinuridae,Panulirus,cygnus
2173,Sublegal,1,Palinuridae,Panulirus,cygnus
2174,Sublegal,1,Palinuridae,Panulirus,cygnus
2175,Sublegal,2,Palinuridae,Panulirus,cygnus
2176,Legal,3,Palinuridae,Panulirus,cygnus
2176,Sublegal,1,Palinuridae,Panulirus,cygnus
2177,Sublegal,1,Palinuridae,Panulirus,cygnus
2182,Legal,1,Palinuridae,Panulirus,cygnus
2185,Sublegal,1,Palinuridae,Panulirus,cygnus
2188,Legal,1,Palinuridae,Panulirus,cygnus
2188,Sublegal,1,Palinuridae,Panulirus,cygnus
2188,Unsized,1,Palinuridae,Panulirus,cygnus
2191,Legal,1,Palinuridae,Panulirus,cygnus
2191,Sublegal,1,Palinuridae,Panulirus,cygnus
2191,Unsized,1,Palinuridae,Panulirus,cygnus
2192,Legal,1,Palinuridae,Panulirus,cygnus
2194,Sublegal,1,Palinuridae,Panulirus,cygnus
2198,Sublegal,2,Palinuridae,Panulirus,cygnus
2199,Legal,1,Palinuridae,Panulirus,cygnus
2199,Sublegal,1,Palinuridae,Panulirus,cygnus
2205,Legal,1,Palinuridae,Panulirus,cygnus
2214,Sublegal,2,Palinuridae,Panulirus,cygnus
2215,Sublegal,2,Palinuridae,Panulirus,cygnus
2217,Legal,2,Palinuridae,Panulirus,cygnus
2217,Sublegal,2,Palinuridae,Panulirus,cygnus
2220,Sublegal,1,Palinuridae,Panulirus,cygnus
2221,Sublegal,1,Palinuridae,Panulirus,cygnus
2222,Legal,1,Palinuridae,Panulirus,cygnus
2223,Sublegal,2,Palinuridae,Panulirus,cygnus
2231,Sublegal,1,Palinuridae,Panulirus,cygnus
2234,Sublegal,1,Palinuridae,Panulirus,cygnus
2235,Unsized,1,Palinuridae,Panulirus,cygnus
2237,Legal,1,Palinuridae,Panulirus,cygnus
2239,Sublegal,1,Palinuridae,Panulirus,cygnus
2255,Unsized,1,Palinuridae,Panulirus,cygnus
2263,Sublegal,1,Palinuridae,Panulirus,cygnus
2268,Legal,1,Palinuridae,Panulirus,cygnus
2269,Sublegal,1,Palinuridae,Panulirus,cygnus
2270,Sublegal,1,Palinuridae,Panulirus,cygnus
2271,Sublegal,1,Palinuridae,Panulirus,cygnus
2274,Sublegal,3,Palinuridae,Panulirus,cygnus
2275,Sublegal,1,Palinuridae,Panulirus,cygnus
2276,Sublegal,4,Palinuridae,Panulirus,cygnus
2281,Sublegal,1,Palinuridae,Panulirus,cygnus
2282,Sublegal,3,Palinuridae,Panulirus,cygnus
2282,Unsized,1,Palinuridae,Panulirus,cygnus
2285,Sublegal,2,Palinuridae,Panulirus,cygnus
2285,Unsized,3,Palinuridae,Panulirus,cygnus
2286,Legal,2,Palinuridae,Panulirus,cygnus
2286,Sublegal,2,Palinuridae,Panulirus,cygnus
2286,Unsized,1,Palinuridae,Panulirus,cygnus
2288,Legal,1,Palinuridae,Panulirus,cygnus
2290,Sublegal,1,Palinuridae,Panulirus,cygnus
2290,Unsized,3,Palinuridae,Panulirus,cygnus
2293,Sublegal,1,Palinuridae,Panulirus,cygnus
2295,Sublegal,1,Palinuridae,Panulirus,cygnus
2298,Legal,3,Palinuridae,Panulirus,cygnus
2298,Sublegal,10,Palinuridae,Panulirus,cygnus
2300,Legal,1,Palinuridae,Panulirus,cygnus
2300,Sublegal,1,Palinuridae,Panulirus,cygnus
2300,Unsized,2,Palinuridae,Panulirus,cygnus
2301,Sublegal,3,Palinuridae,Panulirus,cygnus
2302,Sublegal,6,Palinuridae,Panulirus,cygnus
2303,Legal,1,Palinuridae,Panulirus,cygnus
2305,Unsized,1,Palinuridae,Panulirus,cygnus
2306,Unsized,8,Palinuridae,Panulirus,cygnus
2309,Legal,1,Palinuridae,Panulirus,cygnus
2314,Legal,1,Palinuridae,Panulirus,cygnus
2314,Sublegal,2,Palinuridae,Panulirus,cygnus
2315,Sublegal,2,Palinuridae,Panulirus,cygnus
2319,Legal,1,Palinuridae,Panulirus,cygnus
2320,Legal,1,Palinuridae,Panulirus,cygnus
2320,Sublegal,2,Palinuridae,Panulirus,cygnus
2330,Unsized,1,Palinuridae,Panulirus,cygnus
2332,Legal,2,Palinuridae,Panulirus,cygnus
2332,Sublegal,3,Palinuridae,Panulirus,cygnus
2333,Legal,4,Palinuridae,Panulirus,cygnus
2333,Unsized,1,Palinuridae,Panulirus,cygnus
2341,Sublegal,7,Palinuridae,Panulirus,cygnus
2342,Legal,1,Palinuridae,Panulirus,cygnus
2342,Unsized,1,Palinuridae,Panulirus,cygnus
2343,Legal,3,Palinuridae,Panulirus,cygnus
2343,Sublegal,6,Palinuridae,Panulirus,cygnus
