Sample,Legal.sublegal,Count,Family,Genus,Species
2346,Sublegal,1,Palinuridae,Panulirus,cygnus
2350,Legal,1,Palinuridae,Panulirus,cygnus
2353,Sublegal,1,Palinuridae,Panulirus,cygnus
2354,Legal,3,Palinuridae,Panulirus,cygnus
2354,Sublegal,12,Palinuridae,Panulirus,cygnus
2355,Unsized,1,Palinuridae,Panulirus,cygnus
2357,Legal,1,Palinuridae,Panulirus,cygnus
2357,Unsized,3,Palinuridae,Panulirus,cygnus
2359,Sublegal,1,Palinuridae,Panulirus,cygnus
2360,Sublegal,1,Palinuridae,Panulirus,cygnus
2362,Legal,1,Palinuridae,Panulirus,cygnus
2362,Sublegal,1,Palinuridae,Panulirus,cygnus
2363,Sublegal,2,Palinuridae,Panulirus,cygnus
2363,Unsized,1,Palinuridae,Panulirus,cygnus
2364,Legal,1,Palinuridae,Panulirus,cygnus
2366,Legal,1,Palinuridae,Panulirus,cygnus
2368,Sublegal,1,Palinuridae,Panulirus,cygnus
2369,Legal,1,Palinuridae,Panulirus,cygnus
2369,Sublegal,2,Palinuridae,Panulirus,cygnus
2369,Unsized,1,Palinuridae,Panulirus,cygnus
2371,Legal,1,Palinuridae,Panulirus,cygnus
2371,Unsized,1,Palinuridae,Panulirus,cygnus
2372,Sublegal,1,Palinuridae,Panulirus,cygnus
2373,Legal,1,Palinuridae,Panulirus,cygnus
2376,Sublegal,2,Palinuridae,Panulirus,cygnus
2382,Sublegal,1,Palinuridae,Panulirus,cygnus
2386,Unsized,1,Palinuridae,Panulirus,cygnus
2394,Sublegal,1,Palinuridae,Panulirus,cygnus
2394,Unsized,1,Palinuridae,Panulirus,cygnus
2399,Legal,1,Palinuridae,Panulirus,cygnus
2399,Sublegal,2,Palinuridae,Panulirus,cygnus
2400,Sublegal,1,Palinuridae,Panulirus,cygnus
2401,Sublegal,1,Palinuridae,Panulirus,cygnus
2403,Sublegal,2,Palinuridae,Panulirus,cygnus
2405,Legal,1,Palinuridae,Panulirus,cygnus
2424,Legal,1,Palinuridae,Panulirus,cygnus
2425,Legal,1,Palinuridae,Panulirus,cygnus
2425,Sublegal,2,Palinuridae,Panulirus,cygnus
2428,Legal,1,Palinuridae,Panulirus,cygnus
2429,Sublegal,2,Palinuridae,Panulirus,cygnus
2431,Legal,1,Palinuridae,Panulirus,cygnus
2432,Sublegal,2,Palinuridae,Panulirus,cygnus
2433,Sublegal,3,Palinuridae,Panulirus,cygnus
2434,Legal,20,Palinuridae,Panulirus,cygnus
2434,Sublegal,12,Palinuridae,Panulirus,cygnus
2435,Legal,7,Palinuridae,Panulirus,cygnus
2435,Sublegal,1,Palinuridae,Panulirus,cygnus
2436,Legal,3,Palinuridae,Panulirus,cygnus
2436,Sublegal,4,Palinuridae,Panulirus,cygnus
2440,Legal,3,Palinuridae,Panulirus,cygnus
2440,Sublegal,2,Palinuridae,Panulirus,cygnus
2441,Legal,2,Palinuridae,Panulirus,cygnus
2441,Sublegal,1,Palinuridae,Panulirus,cygnus
2445,Legal,3,Palinuridae,Panulirus,cygnus
2449,Legal,2,Palinuridae,Panulirus,cygnus
2449,Sublegal,3,Palinuridae,Panulirus,cygnus
2452,Legal,2,Palinuridae,Panulirus,cygnus
2452,Sublegal,3,Palinuridae,Panulirus,cygnus
2452,Unsized,8,Palinuridae,Panulirus,cygnus
2455,Legal,3,Palinuridae,Panulirus,cygnus
2455,Sublegal,1,Palinuridae,Panulirus,cygnus
2458,Sublegal,4,Palinuridae,Panulirus,cygnus
2459,Legal,1,Palinuridae,Panulirus,cygnus
2460,Legal,1,Palinuridae,Panulirus,cygnus
2460,Sublegal,2,Palinuridae,Panulirus,cygnus
2462,Legal,1,Palinuridae,Panulirus,cygnus
2462,Sublegal,4,Palinuridae,Panulirus,cygnus
