Sample,Legal.sublegal,Count,Family,Genus,Species
1273,Sublegal,2,Palinuridae,Panulirus,cygnus
1275,Sublegal,1,Palinuridae,Panulirus,cygnus
1276,Sublegal,1,Palinuridae,Panulirus,cygnus
1278,Sublegal,1,Palinuridae,Panulirus,cygnus
1279,Sublegal,1,Palinuridae,Panulirus,cygnus
1281,Sublegal,1,Palinuridae,Panulirus,cygnus
1282,Sublegal,1,Palinuridae,Panulirus,cygnus
1284,Sublegal,2,Palinuridae,Panulirus,cygnus
1285,Sublegal,2,Palinuridae,Panulirus,cygnus
1291,Sublegal,4,Palinuridae,Panulirus,cygnus
1294,Sublegal,1,Palinuridae,Panulirus,cygnus
1317,Sublegal,1,Palinuridae,Panulirus,cygnus
1324,Sublegal,2,Palinuridae,Panulirus,cygnus
1325,Sublegal,2,Palinuridae,Panulirus,cygnus
1348,Sublegal,1,Palinuridae,Panulirus,cygnus
1350,Sublegal,4,Palinuridae,Panulirus,cygnus
1360,Sublegal,5,Palinuridae,Panulirus,cygnus
1367,Sublegal,1,Palinuridae,Panulirus,cygnus
1376,Sublegal,2,Palinuridae,Panulirus,cygnus
1382,Sublegal,1,Palinuridae,Panulirus,cygnus
1389,Sublegal,1,Palinuridae,Panulirus,cygnus
1404,Sublegal,1,Palinuridae,Panulirus,cygnus
1405,Sublegal,3,Palinuridae,Panulirus,cygnus
1418,Sublegal,1,Palinuridae,Panulirus,cygnus
1429,Sublegal,1,Palinuridae,Panulirus,cygnus
1432,Sublegal,2,Palinuridae,Panulirus,cygnus
1435,Sublegal,6,Palinuridae,Panulirus,cygnus
1455,Sublegal,1,Palinuridae,Panulirus,cygnus
1467,Sublegal,1,Palinuridae,Panulirus,cygnus
1488,Sublegal,1,Palinuridae,Panulirus,cygnus
1489,Sublegal,4,Palinuridae,Panulirus,cygnus
1492,Sublegal,1,Palinuridae,Panulirus,cygnus
1493,Sublegal,3,Palinuridae,Panulirus,cygnus
1495,Sublegal,6,Palinuridae,Panulirus,cygnus
1496,Sublegal,5,Palinuridae,Panulirus,cygnus
1501,Sublegal,1,Palinuridae,Panulirus,cygnus
1502,Sublegal,2,Palinuridae,Panulirus,cygnus
1505,Sublegal,1,Palinuridae,Panulirus,cygnus
1507,Sublegal,4,Palinuridae,Panulirus,cygnus
1510,Sublegal,1,Palinuridae,Panulirus,cygnus
1512,Sublegal,7,Palinuridae,Panulirus,cygnus
1514,Sublegal,4,Palinuridae,Panulirus,cygnus
1520,Sublegal,1,Palinuridae,Panulirus,cygnus
1524,Sublegal,2,Palinuridae,Panulirus,cygnus
1528,Sublegal,4,Palinuridae,Panulirus,cygnus
1534,Sublegal,3,Palinuridae,Panulirus,cygnus
1539,Sublegal,2,Palinuridae,Panulirus,cygnus
1543,Sublegal,2,Palinuridae,Panulirus,cygnus
1544,Sublegal,11,Palinuridae,Panulirus,cygnus
1545,Sublegal,10,Palinuridae,Panulirus,cygnus
1546,Sublegal,3,Palinuridae,Panulirus,cygnus
1547,Sublegal,3,Palinuridae,Panulirus,cygnus
1548,Sublegal,3,Palinuridae,Panulirus,cygnus
1549,Sublegal,1,Palinuridae,Panulirus,cygnus
1550,Sublegal,1,Palinuridae,Panulirus,cygnus
1553,Sublegal,3,Palinuridae,Panulirus,cygnus
1555,Sublegal,3,Palinuridae,Panulirus,cygnus
