Sample,Legal.sublegal,Count,Family,Genus,Species
1560,Sublegal,1,Palinuridae,Panulirus,cygnus
1566,Sublegal,4,Palinuridae,Panulirus,cygnus
1570,Sublegal,1,Palinuridae,Panulirus,cygnus
1573,Sublegal,1,Palinuridae,Panulirus,cygnus
1574,Sublegal,4,Palinuridae,Panulirus,cygnus
1576,Sublegal,3,Palinuridae,Panulirus,cygnus
1577,Sublegal,7,Palinuridae,Panulirus,cygnus
1578,Sublegal,4,Palinuridae,Panulirus,cygnus
1579,Sublegal,1,Palinuridae,Panulirus,cygnus
1583,Sublegal,1,Palinuridae,Panulirus,cygnus
1585,Sublegal,2,Palinuridae,Panulirus,cygnus
1586,Sublegal,3,Palinuridae,Panulirus,cygnus
1587,Sublegal,3,Palinuridae,Panulirus,cygnus
1595,Sublegal,1,Palinuridae,Panulirus,cygnus
1630,Sublegal,1,Palinuridae,Panulirus,cygnus
1633,Sublegal,1,Palinuridae,Panulirus,cygnus
1634,Sublegal,1,Palinuridae,Panulirus,cygnus
1639,Sublegal,3,Palinuridae,Panulirus,cygnus
1644,Legal,1,Palinuridae,Panulirus,cygnus
1644,Sublegal,7,Palinuridae,Panulirus,cygnus
1645,Sublegal,1,Palinuridae,Panulirus,cygnus
1646,Sublegal,3,Palinuridae,Panulirus,cygnus
1651,Sublegal,2,Palinuridae,Panulirus,cygnus
1662,Sublegal,2,Palinuridae,Panulirus,cygnus
1668,Legal,1,Palinuridae,Panulirus,cygnus
1668,Sublegal,3,Palinuridae,Panulirus,cygnus
1669,Sublegal,1,Palinuridae,Panulirus,cygnus
1675,Sublegal,5,Palinuridae,Panulirus,cygnus
1677,Sublegal,3,Palinuridae,Panulirus,cygnus
1679,Sublegal,1,Palinuridae,Panulirus,cygnus
1680,Sublegal,5,Palinuridae,Panulirus,cygnus
1682,Sublegal,1,Palinuridae,Panulirus,cygnus
1683,Sublegal,1,Palinuridae,Panulirus,cygnus
1685,Sublegal,11,Palinuridae,Panulirus,cygnus
1686,Sublegal,3,Palinuridae,Panulirus,cygnus
1688,Sublegal,1,Palinuridae,Panulirus,cygnus
1689,Sublegal,1,Palinuridae,Panulirus,cygnus
1691,Sublegal,1,Palinuridae,Panulirus,cygnus
1700,Sublegal,1,Palinuridae,Panulirus,cygnus
1703,Sublegal,1,Palinuridae,Panulirus,cygnus
1705,Legal,2,Palinuridae,Panulirus,cygnus
1707,Sublegal,1,Palinuridae,Panulirus,cygnus
1710,Sublegal,1,Palinuridae,Panulirus,cygnus
1728,Sublegal,3,Palinuridae,Panulirus,cygnus
1730,Legal,1,Palinuridae,Panulirus,cygnus
1730,Sublegal,2,Palinuridae,Panulirus,cygnus
1744,Sublegal,3,Palinuridae,Panulirus,cygnus
1745,Sublegal,3,Palinuridae,Panulirus,cygnus
1751,Sublegal,1,Palinuridae,Panulirus,cygnus
1752,Sublegal,1,Palinuridae,Panulirus,cygnus
1754,Sublegal,2,Palinuridae,Panulirus,cygnus
1755,Sublegal,1,Palinuridae,Panulirus,cygnus
1756,Sublegal,1,Palinuridae,Panulirus,cygnus
1761,Sublegal,1,Palinuridae,Panulirus,cygnus
1766,Sublegal,2,Palinuridae,Panulirus,cygnus
1767,Sublegal,1,Palinuridae,Panulirus,cygnus
1770,Sublegal,1,Palinuridae,Panulirus,cygnus
1775,Legal,1,Palinuridae,Panulirus,cygnus
1785,Sublegal,3,Palinuridae,Panulirus,cygnus
1786,Sublegal,5,Palinuridae,Panulirus,cygnus
1787,Sublegal,6,Palinuridae,Panulirus,cygnus
1788,Sublegal,2,Palinuridae,Panulirus,cygnus
1789,Sublegal,1,Palinuridae,Panulirus,cygnus
1791,Sublegal,1,Palinuridae,Panulirus,cygnus
1794,Sublegal,3,Palinuridae,Panulirus,cygnus
1795,Sublegal,1,Palinuridae,Panulirus,cygnus
1800,Sublegal,1,Palinuridae,Panulirus,cygnus
1803,Sublegal,2,Palinuridae,Panulirus,cygnus
1805,Sublegal,2,Palinuridae,Panulirus,cygnus
1806,Sublegal,3,Palinuridae,Panulirus,cygnus
1811,Sublegal,2,Palinuridae,Panulirus,cygnus
1831,Sublegal,1,Palinuridae,Panulirus,cygnus
1865,Sublegal,1,Palinuridae,Panulirus,cygnus
